epoch,accuracy,loss
0,0.630132666,0.647010942
1,0.75456053,0.517199695
2,0.855721414,0.334073275
3,0.896973491,0.257366657
4,0.915837467,0.209694609
5,0.926202297,0.196676031
6,0.929311752,0.197713122
7,0.935737967,0.172727093
8,0.942164183,0.152281344
9,0.950041473,0.142491207
0,0.919776142,0.208814561
1,0.932006657,0.175807729
2,0.931592047,0.175687
3,0.949212253,0.141779691
4,0.955016613,0.13612406
5,0.954602003,0.129430965
6,0.954809308,0.130918786
7,0.959784389,0.116558053
8,0.958955228,0.113687977
9,0.959991693,0.119411804
0,0.956674933,0.129543424
1,0.961650074,0.11569161
2,0.958333313,0.1212245
3,0.962479293,0.109636322
4,0.960198998,0.107623532
5,0.963930368,0.101818949
6,0.965381444,0.096561201
7,0.964759529,0.105200194
8,0.968283594,0.090418607
9,0.969941974,0.085534304
0,0.961235464,0.10541331
1,0.966003299,0.094661005
2,0.967868984,0.089475736
3,0.968905449,0.08455044
4,0.970978439,0.082988694
5,0.967039824,0.085139535
6,0.971807599,0.081657812
7,0.971185744,0.074183673
8,0.970356524,0.082804762
9,0.972222209,0.072771393
0,0.972844124,0.080396242
1,0.976575434,0.068393476
2,0.975331664,0.065790601
3,0.977819264,0.054685876
4,0.975746274,0.074652031
5,0.972222209,0.081978425
6,0.968283594,0.086056285
7,0.970563829,0.078390174
8,0.977197349,0.063276723
9,0.981550574,0.051391006
0,0.976160884,0.067018889
1,0.978855729,0.058389034
2,0.978648424,0.057966564
3,0.984660029,0.047020707
4,0.984867334,0.043821696
5,0.984452724,0.04510539
6,0.985281944,0.042322852
7,0.982172489,0.047954347
8,0.984867334,0.041818049
9,0.983416259,0.04640533
0,0.964966834,0.089751102
1,0.974087894,0.062535904
2,0.980928719,0.050382245
3,0.983830869,0.045808908
4,0.983623564,0.043457046
5,0.984867334,0.040395327
6,0.98756218,0.037693046
7,0.988184094,0.031748168
8,0.98714757,0.034221504
9,0.987769485,0.03627364
0,0.970771134,0.078955211
1,0.979477584,0.061388183
2,0.982379794,0.048801292
3,0.986525714,0.038550105
4,0.983001649,0.048970461
5,0.985696495,0.039881565
6,0.9859038,0.04746158
7,0.986318409,0.041698195
8,0.989013255,0.032530766
9,0.988391399,0.031166807
0,0.980306804,0.055867955
1,0.98756218,0.035365012
2,0.986525714,0.034861375
3,0.98963517,0.029942935
4,0.989842474,0.028608236
5,0.99046433,0.025918761
6,0.99087894,0.024902266
7,0.9917081,0.022952575
8,0.98714757,0.033753026
9,0.992330015,0.020926382
0,0.987354875,0.033287827
1,0.987976789,0.031520274
2,0.986733019,0.043825954
3,0.99295193,0.023833208
4,0.99046433,0.025415033
5,0.99502486,0.013835282
6,0.989013255,0.031416304
7,0.9917081,0.028834237
8,0.993159175,0.020839976
9,0.990671635,0.027625553
