Round,Accuracy,Loss,Precision,Recall,F1-score
1,0.9917081,0.028475111,0.990131579,0.980456026,0.985270049
2,0.98963517,0.038095191,0.956386293,1,0.977707006
3,0.99963517,0.027095191,0.953386293,1,0.977707006
4,0.98952517,0.032095191,0.956286293,1,0.988207006
5,0.99378109,0.020143209,0.993421053,0.983713355,0.988543372
6,0.99626863,0.012471385,0.987138264,1,0.993527508
7,0.99336648,0.021974156,0.993527508,1,0.996753247
8,0.99585408,0.011263443,0.983974359,1,0.991922456
9,0.99709785,0.006655994,0.98392283,0.996742671,0.990291262
10,0.99709785,0.009225489,0.987096774,0.996742671,0.991896272
